index,mot,phoneme
0_11_18,sunːe,e
0_11_18,sunːe,s
0_11_18,sunːe,n
0_11_18,sunːe,u
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
0_11_18,u,u
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
0_11_18,zyli,l
0_11_18,zyli,i
0_11_18,zyli,y
0_11_18,zyli,z
0_11_18,lɔ,l
0_11_18,lɔ,ɔ
0_11_18,lɔ,l
0_11_18,lɔ,ɔ
0_11_18,lɔ,l
0_11_18,lɔ,ɔ
0_11_18,a,a
0_11_18,ɛ,ɛ
0_11_18,pø,p
0_11_18,pø,ø
0_11_18,gaʁde,a
0_11_18,gaʁde,e
0_11_18,gaʁde,d
0_11_18,gaʁde,g
0_11_18,a,a
0_11_18,ə,ə
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,pø,p
0_11_18,pø,ø
0_11_18,gaʁde,a
0_11_18,gaʁde,e
0_11_18,gaʁde,d
0_11_18,gaʁde,g
0_11_18,lɛ,l
0_11_18,lɛ,ɛ
0_11_18,pø,p
0_11_18,pø,ø
0_11_18,gaʁde,a
0_11_18,gaʁde,e
0_11_18,gaʁde,d
0_11_18,gaʁde,g
0_11_18,a,a
0_11_18,fɛ,ɛ
0_11_18,fɛ,f
0_11_18,pa,a
0_11_18,pa,p
0_11_18,tuʁ,t
0_11_18,tuʁ,u
0_11_18,a,a
0_11_18,twa,a
0_11_18,twa,t
0_11_18,twa,w
0_11_18,si,s
0_11_18,si,i
0_11_18,t,t
0_11_18,a,a
0_11_18,fɛ,ɛ
0_11_18,fɛ,f
0_11_18,tuʁ,t
0_11_18,tuʁ,u
0_11_18,ka,a
0_11_18,ka,k
0_11_18,ta,a
0_11_18,ta,t
0_11_18,aɛː,a
0_11_18,aɛː,ɛ
0_11_18,ɛ,ɛ
