index,mot,phoneme
1_01_14,gɔgɔgɔ,ɔ
1_01_14,gɔgɔgɔ,g
1_01_14,gɔgɔgɔ,g
1_01_14,gɔgɔgɔ,g
1_01_14,dɔk,k
1_01_14,dɔk,d
1_01_14,dɔk,ɔ
1_01_14,ijaːuː,a
1_01_14,ijaːuː,i
1_01_14,ijaːuː,u
1_01_14,ijaːuː,j
1_01_14,aː,a
1_01_14,eːbuːm,e
1_01_14,eːbuːm,m
1_01_14,eːbuːm,u
1_01_14,eːbuːm,b
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œː,œ
1_01_14,œ,œ
1_01_14,œ,œ
1_01_14,aptɛ,a
1_01_14,aptɛ,ɛ
1_01_14,aptɛ,t
1_01_14,aptɛ,p
1_01_14,m,m
1_01_14,mː,m
1_01_14,vœ,v
1_01_14,vœ,œ
1_01_14,vœ,v
1_01_14,vœ,œ
1_01_14,vœ,v
1_01_14,vœ,œ
1_01_14,vœ,v
1_01_14,vœ,œ
1_01_14,vœ,v
1_01_14,vœ,œ
1_01_14,vœ.,v
1_01_14,vœ.,œ
1_01_14,bɔɛː,ɛ
1_01_14,bɔɛː,ɔ
1_01_14,bɔɛː,b
1_01_14,mː,m
1_01_14,avœː,a
1_01_14,avœː,v
1_01_14,avœː,œ
1_01_14,m,m
1_02_10,mː,m
1_02_10,m,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,m,m
1_02_10,m,m
1_02_10,m,m
1_02_10,aː,a
1_02_10,mː,m
1_02_10,a,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,mː,m
1_02_10,eː,e
1_02_10,ja,a
1_02_10,ja,j
1_02_10,ɔː,ɔ
1_02_10,aː,a
1_02_10,ɛː,ɛ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,awaaː,a
1_02_10,awaaː,a
1_02_10,awaaː,a
1_02_10,awaaː,w
1_02_10,awa,a
1_02_10,awa,a
1_02_10,awa,w
1_02_10,a,a
1_02_10,wa,a
1_02_10,wa,w
1_02_10,baː,a
1_02_10,baː,b
1_02_10,a,a
1_02_10,a,a
1_02_10,œː,œ
1_02_10,m,m
1_02_10,m,m
1_02_10,aː,a
1_02_10,a,a
1_02_10,œː,œ
1_02_10,awap2ː,a
1_02_10,awap2ː,a
1_02_10,awap2ː,p
1_02_10,awap2ː,2
1_02_10,awap2ː,w
1_02_10,aː,a
1_02_10,øː,ø
1_02_10,ɛ,ɛ
1_02_10,ɛ,ɛ
1_02_10,blœbɛː,l
1_02_10,blœbɛː,ɛ
1_02_10,blœbɛː,b
1_02_10,blœbɛː,b
1_02_10,blœbɛː,œ
1_02_10,aː,a
1_02_10,œaː,a
1_02_10,œaː,œ
1_02_10,m,m
1_02_10,abwa,a
1_02_10,abwa,a
1_02_10,abwa,b
1_02_10,abwa,w
1_02_10,uː,u
1_02_10,ø,ø
1_02_10,aː,a
1_02_10,a,a
1_02_10,m,m
1_02_10,mː,m
1_02_10,œː,œ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,tɛ,ɛ
1_02_10,tɛ,t
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,oː,o
1_02_10,ɔː,ɔ
1_02_10,aː,a
1_02_10,ɔ,ɔ
1_02_10,œ,œ
1_02_10,aː,a
1_02_10,aa,a
1_02_10,aa,a
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,aː,a
1_02_10,œ,œ
1_02_10,aː,a
1_02_10,m,m
1_02_10,dɔ,d
1_02_10,dɔ,ɔ
1_02_10,œː,œ
1_02_10,œ,œ
1_02_10,œː,œ
1_02_10,abwaː,a
1_02_10,abwaː,a
1_02_10,abwaː,b
1_02_10,abwaː,w
1_02_10,aː,a
1_02_10,a,a
1_02_10,a,a
1_02_10,mː,m
1_02_10,a,a
1_02_10,aː,a
1_02_10,œ,œ
1_02_10,dœː,d
1_02_10,dœː,œ
1_02_10,ma,a
1_02_10,ma,m
1_02_10,œːma,a
1_02_10,œːma,m
1_02_10,œːma,œ
1_02_10,a,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,a,a
1_02_10,a,a
1_02_10,aː,a
1_02_10,œ,œ
1_02_10,m,m
1_02_10,mː,m
1_02_10,y,y
1_02_10,mː,m
1_02_10,m,m
1_02_10,a,a
1_02_10,nː,n
1_02_10,nː,n
1_02_10,neaː,a
1_02_10,neaː,e
1_02_10,neaː,n
1_02_10,aː,a
1_02_10,tɔ,t
1_02_10,tɔ,ɔ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,aːuwaa,a
1_02_10,aːuwaa,a
1_02_10,aːuwaa,a
1_02_10,aːuwaa,u
1_02_10,aːuwaa,w
1_02_10,waː,a
1_02_10,waː,w
1_02_10,aː,a
1_02_10,mː,m
1_02_10,aː,a
1_02_10,a,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,ɔː,ɔ
1_02_10,awɔ,a
1_02_10,awɔ,ɔ
1_02_10,awɔ,w
1_02_10,ɔːnaː,a
1_02_10,ɔːnaː,n
1_02_10,ɔːnaː,ɔ
1_02_10,m,m
1_02_10,m,m
1_02_10,vœːɛː,ɛ
1_02_10,vœːɛː,v
1_02_10,vœːɛː,œ
1_02_10,vavɛʁ,a
1_02_10,vavɛʁ,ɛ
1_02_10,vavɛʁ,v
1_02_10,vavɛʁ,v
1_02_10,mː,m
1_02_10,aː,a
1_02_10,aː,a
1_02_10,a,a
1_02_10,a,a
1_02_10,a,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,ɛː,ɛ
1_02_10,m,m
1_02_10,dœː,d
1_02_10,dœː,œ
1_02_10,m,m
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,ɔ,ɔ
1_02_10,œ,œ
1_02_10,jɛː,ɛ
1_02_10,jɛː,j
