index,mot,phoneme
1_04_20,taptaptaptaptappapa,t
1_04_20,taptaptaptaptappapa,t
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,taptaptaptaptappapa,p
1_04_20,papapapjɛ,a
1_04_20,papapapjɛ,a
1_04_20,papapapjɛ,a
1_04_20,papapapjɛ,ɛ
1_04_20,papapapjɛ,p
1_04_20,papapapjɛ,p
1_04_20,papapapjɛ,p
1_04_20,papapapjɛ,p
1_04_20,papapapjɛ,j
1_04_20,ɔgɔnɛ,ɛ
1_04_20,ɔgɔnɛ,n
1_04_20,ɔgɔnɛ,ɔ
1_04_20,ɔgɔnɛ,ɔ
1_04_20,ɔgɔnɛ,g
1_04_20,pjɛp,ɛ
1_04_20,pjɛp,p
1_04_20,pjɛp,p
1_04_20,pjɛp,j
1_04_20,bul,l
1_04_20,bul,u
1_04_20,bul,b
1_04_20,ɛː,ɛ
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,mmm,m
1_04_20,mmm,m
1_04_20,mmm,m
1_04_20,bu,u
1_04_20,bu,b
1_04_20,ɔ,ɔ
1_04_20,n1,n
1_04_20,n1,1
1_04_20,vɔja,a
1_04_20,vɔja,v
1_04_20,vɔja,ɔ
1_04_20,vɔja,j
1_04_20,wɔɔ,ɔ
1_04_20,wɔɔ,ɔ
1_04_20,wɔɔ,w
1_04_20,hɔa,a
1_04_20,hɔa,ɔ
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,petɔ,e
1_04_20,petɔ,t
1_04_20,petɔ,p
1_04_20,petɔ,ɔ
1_04_20,n1,n
1_04_20,n1,1
1_04_20,n1,n
1_04_20,n1,1
1_04_20,kɔpapa,a
1_04_20,kɔpapa,a
1_04_20,kɔpapa,k
1_04_20,kɔpapa,p
1_04_20,kɔpapa,p
1_04_20,kɔpapa,ɔ
1_04_20,papɛ,a
1_04_20,papɛ,ɛ
1_04_20,papɛ,p
1_04_20,papɛ,p
1_04_20,n0,0
1_04_20,n0,n
1_04_20,l,l
1_04_20,ɛ,ɛ
1_04_20,paka,a
1_04_20,paka,a
1_04_20,paka,k
1_04_20,paka,p
1_04_20,il,l
1_04_20,il,i
1_04_20,ɛ,ɛ
1_04_20,pɔta,a
1_04_20,pɔta,t
1_04_20,pɔta,p
1_04_20,pɔta,ɔ
1_04_20,hɔ,ɔ
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,la,a
1_04_20,la,l
1_04_20,ɔː,ɔ
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,am0,a
1_04_20,am0,m
1_04_20,am0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,am,a
1_04_20,am,m
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0ː,a
1_04_20,mam0ː,m
1_04_20,mam0ː,m
1_04_20,mam0ː,0
1_04_20,ɔm0,m
1_04_20,ɔm0,0
1_04_20,ɔm0,ɔ
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,mam0,a
1_04_20,mam0,m
1_04_20,mam0,m
1_04_20,mam0,0
1_04_20,m0,m
1_04_20,m0,0
1_04_20,m,m
1_04_20,mm,m
1_04_20,mm,m
1_04_20,sykyt,s
1_04_20,sykyt,t
1_04_20,sykyt,k
1_04_20,sykyt,y
1_04_20,sykyt,y
1_04_20,bebe,e
1_04_20,bebe,e
1_04_20,bebe,b
1_04_20,bebe,b
1_04_20,he,e
1_04_20,he,e
1_04_20,he,e
1_04_20,he,e
1_04_20,etato,a
1_04_20,etato,e
1_04_20,etato,t
1_04_20,etato,t
1_04_20,etato,o
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamna,n
1_04_20,tamanamna,a
1_04_20,tamanamna,a
1_04_20,tamanamna,a
1_04_20,tamanamna,a
1_04_20,tamanamna,t
1_04_20,tamanamna,m
1_04_20,tamanamna,m
1_04_20,tamanamna,n
1_04_20,tamanamna,n
1_04_20,mama,a
1_04_20,mama,a
1_04_20,mama,m
1_04_20,mama,m
1_04_20,mjama,a
1_04_20,mjama,a
1_04_20,mjama,m
1_04_20,mjama,m
1_04_20,mjama,j
1_04_20,mnama,a
1_04_20,mnama,a
1_04_20,mnama,m
1_04_20,mnama,m
1_04_20,mnama,n
1_04_20,l,l
1_04_20,ɛ,ɛ
1_04_20,la,a
1_04_20,la,l
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,eø,e
1_04_20,eø,ø
1_04_20,dapalɛ,a
1_04_20,dapalɛ,a
1_04_20,dapalɛ,l
1_04_20,dapalɛ,ɛ
1_04_20,dapalɛ,p
1_04_20,dapalɛ,d
1_04_20,a,a
1_04_20,papa,a
1_04_20,papa,a
1_04_20,papa,p
1_04_20,papa,p
1_04_20,a,a
1_04_20,apape,a
1_04_20,apape,a
1_04_20,apape,e
1_04_20,apape,p
1_04_20,apape,p
1_04_20,bebee,e
1_04_20,bebee,e
1_04_20,bebee,e
1_04_20,bebee,b
1_04_20,bebee,b
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,a
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,m
1_04_20,mnamnamnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamnamnamna,n
1_04_20,mnamnamnamnamnamnamnamnamna,n
